ensembl_transcript_id,transcript_length
AT1G03350.1,1829
AT1G03380.1,4183
AT1G03430.1,1226
AT1G03430.2,1334
AT1G03440.1,2147
AT1G03475.1,1743
AT1G03600.1,1315
AT1G03610.1,1897
AT1G03610.2,1974
AT1G03630.1,1787
AT1G03630.2,1379
AT1G03680.1,957
AT1G03860.1,1398
AT1G03860.2,1355
AT1G03860.3,1400
AT1G03870.1,1164
AT1G03900.1,1239
AT1G03910.1,2565
AT1G03910.2,2466
AT1G03930.1,2419
AT1G04040.1,1086
AT1G04070.1,690
AT1G04080.1,2759
AT1G04080.2,2368
AT1G04080.3,2963
AT1G04080.4,2791
AT1G04080.5,2188
AT1G04120.1,5620
AT1G04120.2,5386
AT1G04120.3,5264
AT1G04140.1,3123
AT1G04140.2,3138
AT1G04170.1,1860
AT1G04170.2,2026
AT1G04240.1,1189
AT1G04240.2,1355
AT1G04250.1,1317
AT1G04260.1,1287
AT1G04270.1,923
AT1G04270.2,795
AT1G04280.1,2362
AT1G04280.2,2510
AT1G04290.1,1073
AT1G04300.1,3688
AT1G04300.2,3783
AT1G04300.3,3610
AT1G04300.4,3535
AT1G04300.5,3758
AT1G04340.1,1044
AT1G04350.1,2066
AT1G04400.1,2661
AT1G04400.2,2422
AT1G04410.1,1613
AT1G04420.1,1539
AT1G04430.1,2593
AT1G04430.2,2473
AT1G04430.3,2517
AT1G04440.1,2407
AT1G04480.1,822
AT1G04510.1,2193
AT1G04510.2,1981
AT1G04530.1,1524
AT1G04550.1,1391
AT1G04550.2,1355
AT1G04630.1,745
AT1G04640.1,994
AT1G04640.2,1139
AT1G04680.1,2074
AT1G04690.1,1609
AT1G04750.1,1276
AT1G04750.2,1089
AT1G04750.3,1207
AT1G04750.4,1165
AT1G04780.1,3161
AT1G04800.1,1027
AT1G04810.1,3435
AT1G04820.1,1971
AT1G04850.1,1669
AT1G04850.2,1665
AT1G04860.1,3438
AT1G04940.1,1198
AT1G04945.3,2532
AT1G04960.1,1450
AT1G04960.2,1698
AT1G04970.1,1791
AT1G04970.2,1828
AT1G04970.3,2082
AT1G04985.1,1539
AT1G04985.2,2122
AT1G05010.1,1529
AT1G05060.1,1029
AT1G05070.1,991
AT1G05140.1,1514
AT1G05150.1,2961
AT1G05170.1,2221
AT1G05170.2,2027
AT1G05180.1,2044
AT1G05180.2,1817
AT1G05180.3,1942
AT1G05190.1,1051
AT1G05200.1,3388
AT1G05200.2,3305
AT1G05340.1,791
AT1G05385.1,788
AT1G05385.2,696
AT1G05430.1,1176
AT1G05500.1,2211
AT1G05500.2,1793
AT1G05520.1,2944
AT1G05560.1,1840
AT1G05560.2,2136
AT1G05835.1,599
AT1G05840.1,1700
AT1G05850.1,1620
AT1G05850.2,1905
AT1G05870.1,1787
AT1G05870.10,1575
AT1G05870.11,1518
AT1G05870.2,1485
AT1G05870.5,1710
AT1G05870.6,1653
AT1G05870.7,1620
AT1G05870.8,1431
AT1G05870.9,1652
AT1G05890.1,2496
AT1G05890.2,2421
AT1G05940.1,2023
AT1G05940.2,2108
AT1G05940.3,2067
AT1G05940.4,2324
AT1G06040.1,1393
AT1G06040.2,1309
AT1G06060.1,1117
AT1G06060.2,1220
AT1G06080.1,1334
AT1G06080.2,1335
AT1G06110.1,1929
AT1G06110.2,1735
AT1G06110.3,1606
AT1G06130.1,1571
AT1G06130.2,1318
AT1G06150.1,2980
AT1G06150.2,2986
AT1G06180.1,1076
AT1G06190.1,1558
AT1G06190.3,1852
AT1G06190.4,1695
AT1G06190.5,1838
AT1G06200.1,985
AT1G06200.2,1111
AT1G06210.1,1584
AT1G06210.2,1661
AT1G06220.1,3447
AT1G06220.2,3580
AT1G06220.3,3473
AT1G06230.1,3316
AT1G06230.2,3602
AT1G06230.3,3523
AT1G06230.4,3217
AT1G06290.1,2519
AT1G06360.1,1253
AT1G06360.2,1290
AT1G06390.1,1771
AT1G06390.2,1590
AT1G06400.1,1338
AT1G06410.1,3401
AT1G06410.2,3438
AT1G06410.3,3521
AT1G06430.1,2433
AT1G06430.2,2681
AT1G06430.3,2291
AT1G06460.1,1321
AT1G06470.1,2492
AT1G06470.2,2759
AT1G06470.3,2368
AT1G06470.4,1834
AT1G06510.1,1252
AT1G06515.1,633
AT1G06515.2,680
AT1G06530.1,1421
AT1G06550.1,1584
AT1G06570.1,1338
AT1G06570.2,1547
AT1G06640.1,2187
AT1G06640.2,1506
AT1G06640.3,1272
AT1G06650.1,1452
AT1G06650.2,1360
AT1G06670.1,5210
AT1G06670.2,5080
AT1G06680.1,1351
AT1G06680.2,1069
AT1G06690.1,1607
AT1G06700.1,1885
AT1G06700.2,1933
AT1G06700.3,2131
AT1G06760.1,1159
AT1G06820.1,2551
AT1G06820.2,2473
AT1G06820.3,2405
AT1G06820.4,2292
AT1G06890.1,1831
AT1G06890.2,1660
AT1G06890.3,1573
AT1G06890.4,1588
AT1G06950.1,3441
AT1G07010.1,1622
AT1G07010.2,1556
AT1G07010.3,1542
AT1G07030.1,1493
AT1G07040.1,1774
AT1G07070.1,684
AT1G07080.1,1223
AT1G07110.1,2789
AT1G07140.1,1516
AT1G07180.1,2169
AT1G07210.1,1204
AT1G07230.1,2170
AT1G07250.1,1850
AT1G07280.1,2414
AT1G07280.2,2022
AT1G07280.3,2154
AT1G07280.4,2735
AT1G07310.1,1850
AT1G07320.1,1412
AT1G07320.2,1238
AT1G07320.3,1058
AT1G07320.4,1211
AT1G07350.3,1737
AT1G07350.4,1973
AT1G07350.5,1816
AT1G07350.6,1860
AT1G07360.1,1819
AT1G07420.1,1625
AT1G07420.2,1392
AT1G07470.1,1508
AT1G07470.2,1690
AT1G07480.1,2046
AT1G07480.2,2066
AT1G07480.3,1307
AT1G07530.1,2826
AT1G07590.1,2407
AT1G07610.1,577
AT1G07640.1,2957
AT1G07640.2,2840
AT1G07640.3,3097
AT1G07660.1,722
AT1G07660.2,666
AT1G07670.1,3632
AT1G07670.2,3682
AT1G07700.1,1192
AT1G07700.2,1123
AT1G07700.3,1539
AT1G07700.4,1458
AT1G07720.1,1846
AT1G07720.2,2098
AT1G07750.1,1565
AT1G07770.1,1653
AT1G07770.2,725
AT1G07770.3,801
AT1G07790.1,853
AT1G07830.1,1113
AT1G07890.1,1270
AT1G07890.2,1267
AT1G07890.3,1022
AT1G07890.4,1229
AT1G07890.5,1385
AT1G07890.6,1304
AT1G07890.7,1137
AT1G07890.8,1297
AT1G07920.1,1858
AT1G07930.1,1894
AT1G07930.2,1576
AT1G07940.1,1905
AT1G07940.2,2027
AT1G07940.3,2355
AT1G07940.4,2089
AT1G07950.1,873
AT1G07950.2,980
AT1G07960.1,849
AT1G07960.2,944
AT1G07960.3,1037
AT1G07960.4,1298
AT1G07990.1,3167
AT1G07990.2,3313
AT1G08010.1,1507
AT1G08010.2,1254
AT1G08010.3,1312
AT1G08110.1,1036
AT1G08110.2,1198
AT1G08110.3,1021
AT1G08110.4,1110
AT1G08130.1,2754
AT1G08190.1,3481
AT1G08200.1,1846
AT1G08250.1,1834
AT1G08360.1,1110
AT1G08370.1,1718
AT1G08420.1,4103
AT1G08420.2,4020
AT1G08450.1,1615
AT1G08450.2,1307
AT1G08450.3,1502
AT1G08460.1,1715
AT1G08460.2,2374
AT1G08480.1,900
AT1G08490.1,1824
AT1G08510.1,2241
AT1G08520.1,2643
AT1G08540.1,2049
AT1G08550.1,2289
AT1G08550.2,1764
AT1G08550.3,2584
AT1G08570.1,1714
AT1G08570.2,1324
AT1G08570.3,1340
AT1G08570.4,1268
AT1G08580.1,855
AT1G08640.1,1649
AT1G08680.1,2761
AT1G08680.2,2757
AT1G08680.3,2634
AT1G08680.4,2403
AT1G08680.5,2968
AT1G08700.1,1761
AT1G08780.1,724
AT1G08820.1,1716
AT1G08820.2,1996
AT1G08820.3,2589
AT1G08820.4,2435
AT1G08820.5,2371
AT1G08830.1,873
AT1G08830.2,806
AT1G08880.1,1103
AT1G08930.1,2077
AT1G08930.2,1832
AT1G08970.1,1103
AT1G08970.2,1216
AT1G08970.3,1176
AT1G08970.4,1613
AT1G08980.1,1573
AT1G09010.1,3087
AT1G09020.1,2487
AT1G09070.1,1606
AT1G09130.1,1448
AT1G09130.2,1270
AT1G09130.3,1338
AT1G09140.1,1314
AT1G09140.2,1652
AT1G09140.3,2256
AT1G09150.1,1213
AT1G09160.1,2186
AT1G09160.2,2098
AT1G09200.1,764
AT1G09210.1,2201
AT1G09250.1,1287
AT1G09270.1,2181
AT1G09270.2,2100
AT1G09270.3,2094
AT1G09310.1,989
AT1G09330.1,1177
AT1G09330.2,1751
AT1G09340.1,1876
AT1G09340.2,2012
AT1G09430.1,1977
AT1G09490.1,1339
AT1G09490.2,1754
AT1G09520.1,1160
AT1G09560.1,1227
AT1G09570.1,4387
AT1G09570.2,3738
AT1G09570.3,4079
AT1G09570.4,3841
AT1G09570.5,4595
AT1G09570.6,4549
AT1G09590.1,872
AT1G09620.1,3720
AT1G09630.1,1093
AT1G09640.1,1950
AT1G09645.1,870
AT1G09690.1,968
AT1G09750.1,1578
AT1G09760.1,1190
AT1G09770.1,3199
AT1G09780.1,1966
AT1G09795.1,1516
AT1G09815.1,726
AT1G09830.1,1922
AT1G09840.1,2128
AT1G09840.2,1791
AT1G09840.7,2199
AT1G09840.8,2049
AT1G09850.1,1752
AT1G09900.1,1797
AT1G09970.1,3595
AT1G09970.2,3251
AT1G09980.1,3307
AT1G09980.2,3156
AT1G09980.3,3513
AT1G10070.1,1642
AT1G10070.2,1558
AT1G10070.3,1668
AT1G10090.1,2910
AT1G10150.1,1816
AT1G10170.1,4208
AT1G10170.2,4052
AT1G10170.3,3974
AT1G10170.4,4031
AT1G10200.1,1236
AT1G10200.2,1427
AT1G10290.1,3460
AT1G10310.1,1144
AT1G10360.1,1018
AT1G10370.1,1160
AT1G10390.1,3875
AT1G10390.2,3776
AT1G10390.3,3666
AT1G10410.1,2297
AT1G10430.1,1347
AT1G10430.2,1335
AT1G10470.1,2017
AT1G10470.2,1357
AT1G10470.3,1193
AT1G10500.1,848
AT1G10510.1,2150
AT1G10522.1,1104
AT1G10522.2,991
AT1G10580.1,2193
AT1G10590.1,940
AT1G10590.2,816
AT1G10590.3,835
AT1G10630.1,1194
AT1G10630.2,1303
AT1G10650.1,1736
AT1G10650.2,1609
AT1G10660.1,1774
AT1G10660.2,1848
AT1G10660.3,1621
AT1G10660.4,1631
AT1G10670.1,1760
AT1G10670.2,1687
AT1G10670.3,1724
AT1G10670.4,1771
AT1G10720.1,1817
AT1G10740.1,2240
AT1G10740.2,2067
AT1G10740.3,1882
AT1G10740.4,1874
AT1G10760.1,5040
AT1G10760.2,4825
AT1G10760.3,4670
AT1G10830.1,1459
AT1G10830.2,1631
AT1G10830.3,1417
AT1G10840.1,1585
AT1G10840.2,1471
AT1G10865.1,691
AT1G10865.2,564
AT1G10900.1,2855
AT1G10900.2,3363
AT1G10900.3,2880
AT1G10940.1,1911
AT1G10940.2,1791
AT1G10950.1,2530
AT1G10960.1,854
AT1G11210.1,1222
AT1G11260.1,2483
AT1G11280.1,2838
AT1G11280.2,2915
AT1G11280.3,2804
AT1G11280.4,2663
AT1G11280.5,2828
AT1G11310.1,2484
AT1G11310.2,2255
AT1G11310.3,1940
AT1G11360.1,1615
AT1G11360.2,1280
AT1G11360.3,1424
AT1G11360.4,1632
AT1G11400.1,1044
AT1G11400.2,1436
AT1G11400.3,1055
AT1G11400.4,1611
AT1G11400.5,1598
AT1G11400.6,1566
AT1G11430.1,1038
AT1G11475.1,606
AT1G11480.1,2312
AT1G11480.2,2175
AT1G11530.1,652
AT1G11650.1,1575
AT1G11650.2,1641
AT1G11680.1,2028
AT1G11720.1,3609
AT1G11720.2,3720
AT1G11750.1,1268
AT1G11750.2,1338
AT1G11820.2,2033
AT1G11820.3,1714
AT1G11840.1,1641
AT1G11840.2,1616
AT1G11840.3,1249
AT1G11840.4,1272
AT1G11840.5,1483
AT1G11840.6,1459
AT1G11850.1,582
AT1G11850.2,868
AT1G11850.4,591
AT1G11860.1,2009
AT1G11860.2,1582
AT1G11860.3,1754
AT1G11890.1,1095
AT1G11910.1,2088
AT1G11910.2,2730
AT1G11930.1,1102
AT1G11930.2,1314
AT1G12000.1,2108
AT1G12050.1,1686
AT1G12080.2,841
AT1G12090.1,1194
AT1G12110.1,2202
AT1G12120.1,2072
AT1G12230.1,1594
AT1G12230.2,1720
AT1G12240.1,2249
AT1G12250.1,1140
AT1G12250.2,1046
AT1G12250.3,1186
AT1G12270.1,1944
AT1G12310.1,1581
AT1G12360.1,2651
AT1G12410.1,1209
AT1G12440.1,1333
AT1G12440.2,1543
AT1G12440.3,1489
AT1G12500.1,1677
AT1G12520.1,1248
AT1G12520.2,1253
AT1G12520.3,1245
AT1G12580.1,2124
AT1G12640.1,1936
AT1G12650.1,1203
AT1G12650.2,1333
AT1G12650.3,1262
AT1G12650.4,1129
AT1G12760.1,1938
AT1G12760.2,1757
AT1G12770.1,2226
AT1G12770.2,2539
AT1G12780.1,2028
AT1G12800.1,2756
AT1G12810.1,768
AT1G12810.2,849
AT1G12820.1,2234
AT1G12840.1,2801
AT1G12845.1,776
AT1G12850.1,1733
AT1G12860.1,2066
AT1G12860.2,2185
AT1G12860.3,2118
AT1G12900.1,1501
AT1G12900.2,1469
AT1G12900.3,1389
AT1G12900.4,1381
AT1G12900.5,1567
AT1G12910.1,1395
AT1G12920.1,1656
AT1G13060.1,1254
AT1G13060.2,1280
AT1G13060.3,1469
AT1G13080.1,1908
AT1G13080.2,1615
AT1G13090.1,1732
AT1G13090.2,1650
AT1G13110.1,1869
AT1G13190.1,2307
AT1G13260.1,1803
AT1G13280.1,1343
AT1G13320.1,2217
AT1G13320.2,2073
AT1G13320.3,2128
AT1G13320.4,2296
AT1G13360.1,1481
AT1G13380.1,930
AT1G13390.1,1913
AT1G13390.2,1423
AT1G13440.1,1789
AT1G13440.2,1355
AT1G13450.1,1633
AT1G13450.3,1871
AT1G13560.1,1780
AT1G13560.2,1649
AT1G13560.3,1429
AT1G13690.1,863
AT1G13820.1,1461
AT1G13930.1,913
AT1G13930.2,738
AT1G13930.3,819
AT1G13980.1,4844
AT1G13980.2,4799
AT1G14000.1,1805
AT1G14030.1,1713
AT1G14150.1,848
AT1G14150.2,703
AT1G14250.1,1952
AT1G14270.1,1347
AT1G14270.2,1540
AT1G14270.3,1343
AT1G14270.4,1516
AT1G14280.1,1802
AT1G14290.1,1538
AT1G14290.2,1858
AT1G14320.1,1115
AT1G14320.2,951
AT1G14345.1,1010
AT1G14380.1,2522
AT1G14380.2,2543
AT1G14380.3,2384
AT1G14380.4,2279
AT1G14380.5,2154
AT1G14380.6,1981
AT1G14400.1,1642
AT1G14400.2,834
AT1G14410.1,1493
AT1G14450.1,601
AT1G14450.2,629
AT1G14510.1,1697
AT1G14570.1,1775
AT1G14570.2,1793
AT1G14570.3,1666
AT1G14570.4,1647
AT1G14580.1,2023
AT1G14580.2,1781
AT1G14580.3,2204
AT1G14610.1,3723
AT1G14620.1,1182
AT1G14620.2,998
AT1G14650.1,3736
AT1G14650.2,3168
AT1G14650.3,2840
AT1G14670.1,2270
AT1G14685.1,1536
AT1G14685.2,1512
AT1G14685.3,1733
AT1G14685.4,1564
AT1G14690.1,2609
AT1G14690.2,2526
AT1G14700.1,1350
AT1G14700.2,1243
AT1G14700.3,1768
AT1G14700.4,1464
AT1G14710.1,2726
AT1G14710.2,2886
AT1G14720.1,1491
AT1G14740.1,2722
AT1G14810.1,1605
AT1G14830.1,2404
AT1G14890.1,1109
AT1G14900.1,1278
AT1G14910.1,2459
AT1G14910.2,2433
AT1G14920.1,2434
AT1G14980.1,1023
AT1G14980.2,1281
AT1G15030.1,1670
AT1G15120.1,1161
AT1G15120.2,744
AT1G15130.1,2887
AT1G15140.1,1322
AT1G15140.2,1388
AT1G15140.3,1342
AT1G15180.1,1854
AT1G15180.2,1838
AT1G15230.1,1190
AT1G15250.1,642
AT1G15250.2,626
AT1G15260.1,814
AT1G15270.1,479
AT1G15280.1,2345
AT1G15280.2,2447
AT1G15290.1,5534
AT1G15290.2,5361
AT1G15340.1,1829
AT1G15340.2,1432
AT1G15350.1,979
AT1G15350.2,1169
AT1G15350.3,1210
AT1G15350.4,1317
AT1G15350.6,1457
AT1G15370.1,978
AT1G15380.1,1193
AT1G15380.2,864
AT1G15390.1,1140
AT1G15400.1,773
AT1G15400.2,1022
AT1G15410.1,2306
AT1G15500.1,2180
AT1G15690.1,2836
AT1G15690.2,2602
AT1G15730.1,1587
AT1G15740.1,2295
AT1G15750.1,4059
AT1G15750.2,3969
AT1G15750.3,4165
AT1G15750.4,3899
AT1G15810.1,1829
AT1G15820.1,1204
AT1G15860.1,1096
AT1G15860.2,1254
AT1G15860.3,1104
AT1G15880.1,1262
AT1G15930.1,960
AT1G15930.2,943
AT1G15950.1,1458
AT1G15950.2,1331
AT1G15950.3,1136
AT1G15950.4,986
AT1G15950.5,953
AT1G15950.6,932
AT1G15980.1,1719
AT1G16000.1,514
AT1G16080.1,1340
AT1G16180.1,1995
AT1G16180.2,1621
AT1G16210.1,1264
AT1G16240.1,1255
AT1G16240.2,1065
AT1G16240.3,1086
AT1G16240.4,1044
AT1G16320.1,1174
AT1G16350.1,1930
AT1G16410.1,2743
AT1G16460.1,1498
AT1G16460.2,1379
AT1G16460.3,1454
AT1G16460.4,1527
AT1G16460.5,1536
AT1G16460.6,1496
AT1G16470.1,1139
AT1G16470.2,1196
AT1G16560.1,1721
AT1G16560.2,1501
AT1G16560.3,1659
AT1G16560.4,1450
AT1G16610.1,1830
AT1G16610.2,1809
AT1G16610.4,1983
AT1G16610.5,1908
AT1G16610.6,1996
AT1G16610.7,1895
AT1G16700.1,1303
AT1G16720.1,2297
AT1G16720.2,2166
AT1G16720.3,1965
AT1G16730.1,952
AT1G16810.1,878
AT1G16810.2,702
AT1G16810.3,527
AT1G16840.1,971
AT1G16840.2,1279
AT1G16840.3,922
AT1G16840.4,1031
AT1G16840.5,1359
AT1G16860.1,2258
AT1G16870.1,1840
AT1G16880.1,1340
AT1G16890.1,855
AT1G16890.2,932
AT1G16890.3,1019
AT1G16920.1,1155
AT1G17050.1,1796
AT1G17080.1,863
AT1G17100.1,941
AT1G17110.1,3320
AT1G17110.2,3377
AT1G17110.3,3503
AT1G17130.1,1392
AT1G17130.2,1413
AT1G17160.1,1504
AT1G17160.2,1292
AT1G17200.1,920
AT1G17210.1,3499
AT1G17220.1,3792
AT1G17280.4,1445
AT1G17280.5,1427
AT1G17280.6,1919
AT1G17280.9,1167
AT1G17290.1,2378
AT1G17360.1,3934
AT1G17370.1,1878
AT1G17370.2,1763
AT1G17440.1,2647
AT1G17440.2,2406
AT1G17470.1,1602
AT1G17470.2,1522
AT1G17530.1,1220
AT1G17550.1,2642
AT1G17550.2,2295
AT1G17620.1,1468
AT1G17650.1,1412
AT1G17650.2,1474
AT1G17730.1,1027
AT1G17840.1,3207
AT1G17860.1,861
AT1G17880.1,803
AT1G17890.1,1409
AT1G17890.2,1530
AT1G17890.3,1437
AT1G17980.1,2709
AT1G17980.2,2693
AT1G17990.1,1570
AT1G17990.2,1406
AT1G18000.1,1918
AT1G18010.1,2070
AT1G18020.1,1509
AT1G18060.1,1191
AT1G18070.1,2254
AT1G18070.2,2116
AT1G18070.3,2120
AT1G18080.1,1449
AT1G18170.1,1168
AT1G18210.1,1242
AT1G18210.2,667
AT1G18260.1,2432
AT1G18330.1,1898
AT1G18330.2,1793
AT1G18360.1,1673
AT1G18450.1,1721
AT1G18460.1,2605
AT1G18470.1,2403
AT1G18470.2,1931
AT1G18500.1,2496
AT1G18540.1,1543
AT1G18620.1,3803
AT1G18620.2,3385
AT1G18620.3,4301
AT1G18620.4,4020
AT1G18620.5,3209
AT1G18640.2,1389
AT1G18640.3,1461
AT1G18650.1,1528
AT1G18650.2,1689
AT1G18660.1,2158
AT1G18660.2,2252
AT1G18660.3,2052
AT1G18660.4,2235
AT1G18700.1,2785
AT1G18700.2,2469
AT1G18700.3,2088
AT1G18700.4,2387
AT1G18700.5,2435
AT1G18700.6,2280
AT1G18710.1,1277
AT1G18720.1,1393
AT1G18720.2,1538
AT1G18730.1,987
AT1G18730.2,736
AT1G18730.3,669
AT1G18730.5,666
AT1G18800.1,1307
AT1G18840.1,2548
AT1G18840.2,2399
AT1G18840.3,2522
AT1G19000.1,1355
AT1G19000.2,1809
AT1G19110.1,2692
AT1G19120.1,767
AT1G19130.1,857
AT1G19150.1,1162
AT1G19180.1,1558
AT1G19180.2,1507
AT1G19180.3,1416
AT1G19310.1,1076
AT1G19350.1,2202
AT1G19350.3,1465
AT1G19350.4,1502
AT1G19350.5,1468
AT1G19350.6,1304
AT1G19360.1,1915
AT1G19360.2,1830
AT1G19400.1,1919
AT1G19400.2,1538
AT1G19400.3,1621
AT1G19400.4,1736
AT1G19430.1,2970
AT1G19430.2,3057
AT1G19430.3,2736
AT1G19440.1,2185
AT1G19450.1,2118
AT1G19530.1,928
AT1G19530.2,654
AT1G19570.1,802
AT1G19580.1,1558
AT1G19580.2,1451
AT1G19600.1,1590
AT1G19660.1,1645
AT1G19660.2,1457
AT1G19660.3,1628
AT1G19670.1,1454
AT1G19700.1,2281
AT1G19700.2,1973
AT1G19700.3,2320
AT1G19700.4,2203
AT1G19700.5,2104
AT1G19715.1,2130
AT1G19715.2,2128
AT1G19715.3,1925
AT1G19720.1,3069
AT1G19740.1,1214
AT1G19770.1,1418
AT1G19800.1,1435
AT1G19800.2,1473
AT1G19800.3,1521
AT1G19800.4,1591
AT1G19800.5,1649
AT1G19800.6,1580
AT1G19835.1,3541
AT1G19835.2,3419
AT1G19835.3,3889
AT1G19835.4,3578
AT1G19835.5,3379
AT1G19835.6,3370
AT1G19860.1,1866
AT1G19860.2,2395
AT1G19870.1,3055
AT1G19870.2,3364
AT1G19910.1,1086
AT1G19910.2,1354
AT1G19920.1,1914
AT1G20010.1,2015
AT1G20020.1,1559
AT1G20020.2,1757
AT1G20020.3,1392
AT1G20050.1,1163
AT1G20070.1,1139
AT1G20090.1,1375
AT1G20100.1,1484
AT1G20100.2,1210
AT1G20110.1,2488
AT1G20190.1,1315
AT1G20190.2,986
AT1G20200.1,1932
AT1G20220.1,1508
AT1G20225.1,974
AT1G20260.1,2113
AT1G20330.1,1705
AT1G20340.1,1347
AT1G20430.1,899
AT1G20440.1,2320
AT1G20450.1,1614
AT1G20450.2,1511
AT1G20510.1,2176
AT1G20510.2,1915
AT1G20510.3,2474
AT1G20540.1,1268
AT1G20580.1,936
AT1G20620.1,1996
AT1G20620.2,2000
AT1G20620.4,2885
AT1G20620.5,1817
AT1G20620.6,2784
AT1G20620.7,2552
AT1G20630.1,2226
AT1G20650.1,2310
AT1G20670.1,2522
AT1G20693.1,1057
AT1G20693.2,948
AT1G20693.3,951
AT1G20696.1,1174
AT1G20696.2,931
AT1G20696.3,897
AT1G20696.4,1460
AT1G20696.5,1364
AT1G20760.1,3497
AT1G20810.1,1033
AT1G20810.2,1064
AT1G20850.1,1378
AT1G20950.1,2370
AT1G20960.1,7183
AT1G20960.2,6922
AT1G20970.1,5065
AT1G20980.1,4187
AT1G21000.1,1419
AT1G21000.2,1194
AT1G21050.1,942
AT1G21050.2,1614
AT1G21060.1,1679
AT1G21060.2,1644
AT1G21065.1,894
AT1G21080.1,1677
AT1G21080.2,1491
AT1G21080.3,1873
AT1G21130.1,1744
AT1G21130.2,1452
AT1G21190.1,720
AT1G21270.1,3585
AT1G21310.1,1654
AT1G21350.1,1099
AT1G21350.2,925
AT1G21350.3,1014
AT1G21350.4,1058
AT1G21350.5,1230
AT1G21380.1,2023
AT1G21400.1,2038
AT1G21400.2,2756
AT1G21400.3,2651
AT1G21400.4,2509
AT1G21400.5,2199
AT1G21400.6,2156
AT1G21410.1,1588
AT1G21410.2,1477
AT1G21440.1,1425
AT1G21440.2,1276
AT1G21500.1,877
AT1G21560.2,1806
AT1G21560.3,1838
AT1G21560.4,1944
AT1G21560.5,1711
AT1G21560.6,1679
AT1G21580.1,7442
AT1G21580.4,7705
AT1G21580.5,7448
AT1G21590.1,2975
